"Long","Lat","NPP","coord"
-78.5,77.5,20,"-78.5_77.5"
-77.5,77.5,3.5,"-77.5_77.5"
-76.5,77.5,71.3333358764648,"-76.5_77.5"
-75.5,77.5,83,"-75.5_77.5"
-72.5,77.5,266.989898681641,"-72.5_77.5"
-71.5,77.5,223.308822631836,"-71.5_77.5"
-70.5,77.5,102.366195678711,"-70.5_77.5"
-69.5,77.5,128.42317199707,"-69.5_77.5"
-68.5,77.5,89.6427688598633,"-68.5_77.5"
-67.5,77.5,92.3991928100586,"-67.5_77.5"
-66.5,77.5,88.9186553955078,"-66.5_77.5"
-65.5,77.5,23.8740272521973,"-65.5_77.5"
-25.5,77.5,12.9428567886353,"-25.5_77.5"
-24.5,77.5,9.5847864151001,"-24.5_77.5"
-23.5,77.5,17.0567684173584,"-23.5_77.5"
-22.5,77.5,18.5963859558105,"-22.5_77.5"
-21.5,77.5,98.9659042358398,"-21.5_77.5"
-20.5,77.5,83.1436614990234,"-20.5_77.5"
-19.5,77.5,67.6615753173828,"-19.5_77.5"
-18.5,77.5,24.5846157073975,"-18.5_77.5"
13.5,77.5,458.495422363281,"13.5_77.5"
14.5,77.5,382.507843017578,"14.5_77.5"
15.5,77.5,426.851379394531,"15.5_77.5"
16.5,77.5,255.875305175781,"16.5_77.5"
17.5,77.5,62.8321151733398,"17.5_77.5"
18.5,77.5,22.0573768615723,"18.5_77.5"
20.5,77.5,592.883850097656,"20.5_77.5"
21.5,77.5,383,"21.5_77.5"
22.5,77.5,263.476043701172,"22.5_77.5"
23.5,77.5,198.638092041016,"23.5_77.5"
24.5,77.5,121.777778625488,"24.5_77.5"
82.5,77.5,82,"82.5_77.5"
89.5,77.5,156.463638305664,"89.5_77.5"
91.5,77.5,144.66667175293,"91.5_77.5"
95.5,77.5,205.75,"95.5_77.5"
96.5,77.5,160.368423461914,"96.5_77.5"
99.5,77.5,180.33332824707,"99.5_77.5"
100.5,77.5,118.5,"100.5_77.5"
101.5,77.5,430.812133789062,"101.5_77.5"
102.5,77.5,428.690338134766,"102.5_77.5"
103.5,77.5,262.519989013672,"103.5_77.5"
104.5,77.5,303.653839111328,"104.5_77.5"
105.5,77.5,317.778503417969,"105.5_77.5"
106.5,77.5,412.959991455078,"106.5_77.5"
107.5,77.5,156,"107.5_77.5"
-122.5,76.5,72.0521774291992,"-122.5_76.5"
-121.5,76.5,138.906982421875,"-121.5_76.5"
-120.5,76.5,132.493041992188,"-120.5_76.5"
-119.5,76.5,190.253829956055,"-119.5_76.5"
-118.5,76.5,191.772171020508,"-118.5_76.5"
-117.5,76.5,190.834289550781,"-117.5_76.5"
-116.5,76.5,178.281951904297,"-116.5_76.5"
-115.5,76.5,246.994659423828,"-115.5_76.5"
-114.5,76.5,295.720123291016,"-114.5_76.5"
-113.5,76.5,330.628265380859,"-113.5_76.5"
-112.5,76.5,365.484436035156,"-112.5_76.5"
-110.5,76.5,196.141632080078,"-110.5_76.5"
-109.5,76.5,189.798477172852,"-109.5_76.5"
-108.5,76.5,235.012283325195,"-108.5_76.5"
-107.5,76.5,347.246917724609,"-107.5_76.5"
-106.5,76.5,182.135131835938,"-106.5_76.5"
-105.5,76.5,134,"-105.5_76.5"
-104.5,76.5,264.837829589844,"-104.5_76.5"
-103.5,76.5,354.867279052734,"-103.5_76.5"
-102.5,76.5,150.873626708984,"-102.5_76.5"
-101.5,76.5,230.162017822266,"-101.5_76.5"
-100.5,76.5,192.735229492188,"-100.5_76.5"
-99.5,76.5,180.222595214844,"-99.5_76.5"
-98.5,76.5,208.561874389648,"-98.5_76.5"
-97.5,76.5,193.596496582031,"-97.5_76.5"
-96.5,76.5,102.492065429688,"-96.5_76.5"
-95.5,76.5,136.6875,"-95.5_76.5"
-94.5,76.5,150.169357299805,"-94.5_76.5"
-93.5,76.5,205.450820922852,"-93.5_76.5"
-92.5,76.5,174.949493408203,"-92.5_76.5"
-91.5,76.5,132.703903198242,"-91.5_76.5"
-90.5,76.5,150.460525512695,"-90.5_76.5"
-89.5,76.5,155.02604675293,"-89.5_76.5"
-88.5,76.5,169.520126342773,"-88.5_76.5"
-87.5,76.5,163.824264526367,"-87.5_76.5"
-86.5,76.5,126.258193969727,"-86.5_76.5"
-85.5,76.5,114.962440490723,"-85.5_76.5"
-84.5,76.5,104.979667663574,"-84.5_76.5"
-83.5,76.5,132.22444152832,"-83.5_76.5"
-82.5,76.5,115.208160400391,"-82.5_76.5"
-81.5,76.5,98.5265655517578,"-81.5_76.5"
-80.5,76.5,50.8012428283691,"-80.5_76.5"
-79.5,76.5,25.115385055542,"-79.5_76.5"
-78.5,76.5,9.77499961853027,"-78.5_76.5"
-77.5,76.5,1,"-77.5_76.5"
-73.5,76.5,122.5,"-73.5_76.5"
-72.5,76.5,372.666656494141,"-72.5_76.5"
-71.5,76.5,179.975616455078,"-71.5_76.5"
-70.5,76.5,183.568069458008,"-70.5_76.5"
-69.5,76.5,141.884780883789,"-69.5_76.5"
-68.5,76.5,145.155624389648,"-68.5_76.5"
-67.5,76.5,51.0688400268555,"-67.5_76.5"
-66.5,76.5,65.6578979492188,"-66.5_76.5"
-65.5,76.5,122.436363220215,"-65.5_76.5"
-64.5,76.5,89.6875,"-64.5_76.5"
-63.5,76.5,2.05714297294617,"-63.5_76.5"
-62.5,76.5,120.5,"-62.5_76.5"
-61.5,76.5,25.3333339691162,"-61.5_76.5"
-60.5,76.5,16.3199996948242,"-60.5_76.5"
-26.5,76.5,9.29660987854004,"-26.5_76.5"
-25.5,76.5,12.2945327758789,"-25.5_76.5"
-24.5,76.5,11.332911491394,"-24.5_76.5"
-23.5,76.5,20.9267406463623,"-23.5_76.5"
-22.5,76.5,71.1873474121094,"-22.5_76.5"
-21.5,76.5,60.5909309387207,"-21.5_76.5"
-20.5,76.5,41.9827575683594,"-20.5_76.5"
-19.5,76.5,75.1202926635742,"-19.5_76.5"
-18.5,76.5,54.3964881896973,"-18.5_76.5"
15.5,76.5,351.600799560547,"15.5_76.5"
16.5,76.5,214.33642578125,"16.5_76.5"
17.5,76.5,19.6111106872559,"17.5_76.5"
24.5,76.5,219.892852783203,"24.5_76.5"
25.5,76.5,165.126754760742,"25.5_76.5"
59.5,76.5,178.521743774414,"59.5_76.5"
60.5,76.5,102.793647766113,"60.5_76.5"
61.5,76.5,148.794525146484,"61.5_76.5"
62.5,76.5,139.404251098633,"62.5_76.5"
63.5,76.5,438,"63.5_76.5"
64.5,76.5,33.4545440673828,"64.5_76.5"
65.5,76.5,103.769233703613,"65.5_76.5"
66.5,76.5,28.9210529327393,"66.5_76.5"
67.5,76.5,54,"67.5_76.5"
68.5,76.5,64.2422714233398,"68.5_76.5"
69.5,76.5,65,"69.5_76.5"
91.5,76.5,155.5,"91.5_76.5"
92.5,76.5,456,"92.5_76.5"
93.5,76.5,657.84716796875,"93.5_76.5"
94.5,76.5,684.127563476562,"94.5_76.5"
95.5,76.5,587.348266601562,"95.5_76.5"
96.5,76.5,565.286865234375,"96.5_76.5"
97.5,76.5,662.268859863281,"97.5_76.5"
98.5,76.5,792.4501953125,"98.5_76.5"
99.5,76.5,694.394836425781,"99.5_76.5"
100.5,76.5,714.842224121094,"100.5_76.5"
101.5,76.5,704.188720703125,"101.5_76.5"
102.5,76.5,678.506896972656,"102.5_76.5"
103.5,76.5,602.27001953125,"103.5_76.5"
104.5,76.5,606.005676269531,"104.5_76.5"
105.5,76.5,390.992858886719,"105.5_76.5"
106.5,76.5,492.514343261719,"106.5_76.5"
107.5,76.5,383.439697265625,"107.5_76.5"
108.5,76.5,399.394104003906,"108.5_76.5"
109.5,76.5,435.753295898438,"109.5_76.5"
110.5,76.5,471.695220947266,"110.5_76.5"
111.5,76.5,679.038330078125,"111.5_76.5"
112.5,76.5,741.047973632812,"112.5_76.5"
113.5,76.5,724.088745117188,"113.5_76.5"
138.5,76.5,441.929962158203,"138.5_76.5"
139.5,76.5,441.396240234375,"139.5_76.5"
141.5,76.5,467.077789306641,"141.5_76.5"
142.5,76.5,474,"142.5_76.5"
-122.5,75.5,106.230766296387,"-122.5_75.5"
-121.5,75.5,147.755325317383,"-121.5_75.5"
-120.5,75.5,166.316940307617,"-120.5_75.5"
-119.5,75.5,341.591217041016,"-119.5_75.5"
-118.5,75.5,397.346984863281,"-118.5_75.5"
-117.5,75.5,218.300399780273,"-117.5_75.5"
-116.5,75.5,242.075820922852,"-116.5_75.5"
-115.5,75.5,225.608413696289,"-115.5_75.5"
-114.5,75.5,186.886856079102,"-114.5_75.5"
-113.5,75.5,150.251007080078,"-113.5_75.5"
-112.5,75.5,161.321868896484,"-112.5_75.5"
-111.5,75.5,259.784301757812,"-111.5_75.5"
-110.5,75.5,148.462814331055,"-110.5_75.5"
-109.5,75.5,362.259399414062,"-109.5_75.5"
-108.5,75.5,313.268127441406,"-108.5_75.5"
-107.5,75.5,244.77001953125,"-107.5_75.5"
-106.5,75.5,269.838684082031,"-106.5_75.5"
-105.5,75.5,304.292633056641,"-105.5_75.5"
-104.5,75.5,318.4609375,"-104.5_75.5"
-103.5,75.5,299.806671142578,"-103.5_75.5"
-102.5,75.5,239.395965576172,"-102.5_75.5"
-101.5,75.5,207.63850402832,"-101.5_75.5"
-100.5,75.5,310.017822265625,"-100.5_75.5"
-99.5,75.5,344.441314697266,"-99.5_75.5"
-98.5,75.5,326.440460205078,"-98.5_75.5"
-97.5,75.5,292.463775634766,"-97.5_75.5"
-96.5,75.5,205.806564331055,"-96.5_75.5"
-95.5,75.5,231.325424194336,"-95.5_75.5"
-94.5,75.5,196.279525756836,"-94.5_75.5"
-93.5,75.5,131.304351806641,"-93.5_75.5"
-92.5,75.5,188.961349487305,"-92.5_75.5"
-91.5,75.5,206.736846923828,"-91.5_75.5"
-90.5,75.5,147.276596069336,"-90.5_75.5"
-89.5,75.5,145.344085693359,"-89.5_75.5"
-88.5,75.5,169.558486938477,"-88.5_75.5"
-87.5,75.5,136.905654907227,"-87.5_75.5"
-86.5,75.5,152.633834838867,"-86.5_75.5"
-85.5,75.5,129,"-85.5_75.5"
-84.5,75.5,132.075149536133,"-84.5_75.5"
-83.5,75.5,176.078506469727,"-83.5_75.5"
-82.5,75.5,38.25,"-82.5_75.5"
-81.5,75.5,0,"-81.5_75.5"
-80.5,75.5,41.2608680725098,"-80.5_75.5"
-79.5,75.5,47.1864395141602,"-79.5_75.5"
-78.5,75.5,131,"-78.5_75.5"
-67.5,75.5,341.222229003906,"-67.5_75.5"
-66.5,75.5,164.199996948242,"-66.5_75.5"
-65.5,75.5,245,"-65.5_75.5"
-60.5,75.5,74.0909118652344,"-60.5_75.5"
-59.5,75.5,35.25,"-59.5_75.5"
-58.5,75.5,51.4436073303223,"-58.5_75.5"
-57.5,75.5,2.13084101676941,"-57.5_75.5"
-25.5,75.5,0,"-25.5_75.5"
-24.5,75.5,5.94285726547241,"-24.5_75.5"
-23.5,75.5,6.52475261688232,"-23.5_75.5"
-22.5,75.5,41.2459907531738,"-22.5_75.5"
-21.5,75.5,61.0748863220215,"-21.5_75.5"
-20.5,75.5,80.9518585205078,"-20.5_75.5"
-19.5,75.5,232.456756591797,"-19.5_75.5"
-18.5,75.5,191.856658935547,"-18.5_75.5"
-17.5,75.5,59.7478256225586,"-17.5_75.5"
55.5,75.5,434.233337402344,"55.5_75.5"
56.5,75.5,327.153228759766,"56.5_75.5"
57.5,75.5,116.913040161133,"57.5_75.5"
58.5,75.5,234.300003051758,"58.5_75.5"
59.5,75.5,70.065788269043,"59.5_75.5"
60.5,75.5,67.5711822509766,"60.5_75.5"
61.5,75.5,41.9604797363281,"61.5_75.5"
62.5,75.5,31.4214286804199,"62.5_75.5"
63.5,75.5,33.4634132385254,"63.5_75.5"
64.5,75.5,27.2000007629395,"64.5_75.5"
65.5,75.5,25.4490737915039,"65.5_75.5"
66.5,75.5,35,"66.5_75.5"
81.5,75.5,288.873229980469,"81.5_75.5"
82.5,75.5,161.789474487305,"82.5_75.5"
83.5,75.5,242.66667175293,"83.5_75.5"
87.5,75.5,837.81591796875,"87.5_75.5"
88.5,75.5,947.478149414062,"88.5_75.5"
89.5,75.5,850.130187988281,"89.5_75.5"
90.5,75.5,745.923950195312,"90.5_75.5"
91.5,75.5,554.763793945312,"91.5_75.5"
92.5,75.5,507.315002441406,"92.5_75.5"
93.5,75.5,478.919708251953,"93.5_75.5"
94.5,75.5,482.56494140625,"94.5_75.5"
95.5,75.5,696.336181640625,"95.5_75.5"
96.5,75.5,711.687622070312,"96.5_75.5"
97.5,75.5,674.5107421875,"97.5_75.5"
98.5,75.5,804.538879394531,"98.5_75.5"
99.5,75.5,748.78564453125,"99.5_75.5"
100.5,75.5,768.116333007812,"100.5_75.5"
101.5,75.5,759.627502441406,"101.5_75.5"
102.5,75.5,687.493408203125,"102.5_75.5"
103.5,75.5,631.629821777344,"103.5_75.5"
104.5,75.5,641.228759765625,"104.5_75.5"
105.5,75.5,681.062133789062,"105.5_75.5"
106.5,75.5,691.142028808594,"106.5_75.5"
107.5,75.5,715.103393554688,"107.5_75.5"
108.5,75.5,499.549194335938,"108.5_75.5"
109.5,75.5,449.909454345703,"109.5_75.5"
110.5,75.5,370.237152099609,"110.5_75.5"
111.5,75.5,476.336944580078,"111.5_75.5"
112.5,75.5,640.47705078125,"112.5_75.5"
113.5,75.5,669.85986328125,"113.5_75.5"
135.5,75.5,567.54931640625,"135.5_75.5"
136.5,75.5,667.659545898438,"136.5_75.5"
137.5,75.5,721.770935058594,"137.5_75.5"
138.5,75.5,688.176086425781,"138.5_75.5"
139.5,75.5,803.765686035156,"139.5_75.5"
140.5,75.5,726.117126464844,"140.5_75.5"
141.5,75.5,149.811599731445,"141.5_75.5"
142.5,75.5,689.026245117188,"142.5_75.5"
143.5,75.5,816.120727539062,"143.5_75.5"
144.5,75.5,743.07275390625,"144.5_75.5"
145.5,75.5,451.605834960938,"145.5_75.5"
146.5,75.5,554.382263183594,"146.5_75.5"
147.5,75.5,668.489135742188,"147.5_75.5"
148.5,75.5,610.180236816406,"148.5_75.5"
149.5,75.5,559.616271972656,"149.5_75.5"
150.5,75.5,481.827911376953,"150.5_75.5"
-124.5,74.5,427.136810302734,"-124.5_74.5"
-123.5,74.5,554.311401367188,"-123.5_74.5"
-122.5,74.5,437.541931152344,"-122.5_74.5"
-121.5,74.5,752.117797851562,"-121.5_74.5"
-120.5,74.5,618.098266601562,"-120.5_74.5"
-119.5,74.5,815.0791015625,"-119.5_74.5"
-118.5,74.5,456.690643310547,"-118.5_74.5"
-117.5,74.5,173.179107666016,"-117.5_74.5"
-116.5,74.5,150.4375,"-116.5_74.5"
-115.5,74.5,442.285705566406,"-115.5_74.5"
-114.5,74.5,257.098052978516,"-114.5_74.5"
-113.5,74.5,280.528015136719,"-113.5_74.5"
-112.5,74.5,339.946533203125,"-112.5_74.5"
-111.5,74.5,380.0224609375,"-111.5_74.5"
-110.5,74.5,365.450439453125,"-110.5_74.5"
-109.5,74.5,237.820892333984,"-109.5_74.5"
-108.5,74.5,200.46875,"-108.5_74.5"
-107.5,74.5,277.783782958984,"-107.5_74.5"
-106.5,74.5,220.777770996094,"-106.5_74.5"
-98.5,74.5,195.026321411133,"-98.5_74.5"
-97.5,74.5,150.320007324219,"-97.5_74.5"
-96.5,74.5,177.5,"-96.5_74.5"
-95.5,74.5,159.100006103516,"-95.5_74.5"
-94.5,74.5,190.475006103516,"-94.5_74.5"
-93.5,74.5,139.68571472168,"-93.5_74.5"
-92.5,74.5,175.967742919922,"-92.5_74.5"
-91.5,74.5,142.283584594727,"-91.5_74.5"
-90.5,74.5,171.605438232422,"-90.5_74.5"
-89.5,74.5,126.731346130371,"-89.5_74.5"
-88.5,74.5,154.058517456055,"-88.5_74.5"
-87.5,74.5,144.212692260742,"-87.5_74.5"
-86.5,74.5,135.419494628906,"-86.5_74.5"
-85.5,74.5,112.011276245117,"-85.5_74.5"
-84.5,74.5,114.081634521484,"-84.5_74.5"
-83.5,74.5,117.924674987793,"-83.5_74.5"
-82.5,74.5,220.739303588867,"-82.5_74.5"
-81.5,74.5,65.9766540527344,"-81.5_74.5"
-80.5,74.5,181.820816040039,"-80.5_74.5"
-79.5,74.5,417.171417236328,"-79.5_74.5"
-58.5,74.5,121.222221374512,"-58.5_74.5"
-57.5,74.5,97.7434234619141,"-57.5_74.5"
-56.5,74.5,68.5748825073242,"-56.5_74.5"
-55.5,74.5,35.2222213745117,"-55.5_74.5"
-28.5,74.5,2.48000001907349,"-28.5_74.5"
-27.5,74.5,4.40975618362427,"-27.5_74.5"
-26.5,74.5,4.09545469284058,"-26.5_74.5"
-25.5,74.5,20.3893032073975,"-25.5_74.5"
-24.5,74.5,49.3299827575684,"-24.5_74.5"
-23.5,74.5,63.6766166687012,"-23.5_74.5"
-22.5,74.5,61.4953498840332,"-22.5_74.5"
-21.5,74.5,103.094856262207,"-21.5_74.5"
-20.5,74.5,161.232986450195,"-20.5_74.5"
-19.5,74.5,114.054626464844,"-19.5_74.5"
-18.5,74.5,81.5647048950195,"-18.5_74.5"
-17.5,74.5,74.2592620849609,"-17.5_74.5"
18.5,74.5,499.84375,"18.5_74.5"
19.5,74.5,539.218200683594,"19.5_74.5"
54.5,74.5,546.348815917969,"54.5_74.5"
55.5,74.5,422.240112304688,"55.5_74.5"
56.5,74.5,186.451919555664,"56.5_74.5"
57.5,74.5,110.912971496582,"57.5_74.5"
