sites,Long,Lat
-41.5_-16.5,-41.5,-16.5
-40.5_-16.5,-40.5,-16.5
-39.5_-16.5,-39.5,-16.5
-38.5_-16.5,-38.5,-16.5
11.5_-16.5,11.5,-16.5
12.5_-16.5,12.5,-16.5
13.5_-16.5,13.5,-16.5
14.5_-16.5,14.5,-16.5
15.5_-16.5,15.5,-16.5
16.5_-16.5,16.5,-16.5
17.5_-16.5,17.5,-16.5
18.5_-16.5,18.5,-16.5
19.5_-16.5,19.5,-16.5
20.5_-16.5,20.5,-16.5
21.5_-16.5,21.5,-16.5
22.5_-16.5,22.5,-16.5
23.5_-16.5,23.5,-16.5
24.5_-16.5,24.5,-16.5
25.5_-16.5,25.5,-16.5
26.5_-16.5,26.5,-16.5
27.5_-16.5,27.5,-16.5
28.5_-16.5,28.5,-16.5
29.5_-16.5,29.5,-16.5
30.5_-16.5,30.5,-16.5
31.5_-16.5,31.5,-16.5
32.5_-16.5,32.5,-16.5
33.5_-16.5,33.5,-16.5
34.5_-16.5,34.5,-16.5
35.5_-16.5,35.5,-16.5
36.5_-16.5,36.5,-16.5
37.5_-16.5,37.5,-16.5
38.5_-16.5,38.5,-16.5
39.5_-16.5,39.5,-16.5
44.5_-16.5,44.5,-16.5
45.5_-16.5,45.5,-16.5
46.5_-16.5,46.5,-16.5
47.5_-16.5,47.5,-16.5
48.5_-16.5,48.5,-16.5
49.5_-16.5,49.5,-16.5
122.5_-16.5,122.5,-16.5
123.5_-16.5,123.5,-16.5
124.5_-16.5,124.5,-16.5
125.5_-16.5,125.5,-16.5
126.5_-16.5,126.5,-16.5
127.5_-16.5,127.5,-16.5
128.5_-16.5,128.5,-16.5
129.5_-16.5,129.5,-16.5
130.5_-16.5,130.5,-16.5
131.5_-16.5,131.5,-16.5
132.5_-16.5,132.5,-16.5
133.5_-16.5,133.5,-16.5
134.5_-16.5,134.5,-16.5
135.5_-16.5,135.5,-16.5
136.5_-16.5,136.5,-16.5
137.5_-16.5,137.5,-16.5
138.5_-16.5,138.5,-16.5
139.5_-16.5,139.5,-16.5
140.5_-16.5,140.5,-16.5
141.5_-16.5,141.5,-16.5
142.5_-16.5,142.5,-16.5
143.5_-16.5,143.5,-16.5
144.5_-16.5,144.5,-16.5
145.5_-16.5,145.5,-16.5
167.5_-16.5,167.5,-16.5
168.5_-16.5,168.5,-16.5
177.5_-16.5,177.5,-16.5
178.5_-16.5,178.5,-16.5
179.5_-16.5,179.5,-16.5
-75.5_-15.5,-75.5,-15.5
-74.5_-15.5,-74.5,-15.5
-73.5_-15.5,-73.5,-15.5
-72.5_-15.5,-72.5,-15.5
-71.5_-15.5,-71.5,-15.5
-70.5_-15.5,-70.5,-15.5
-69.5_-15.5,-69.5,-15.5
-68.5_-15.5,-68.5,-15.5
-67.5_-15.5,-67.5,-15.5
-66.5_-15.5,-66.5,-15.5
-65.5_-15.5,-65.5,-15.5
-64.5_-15.5,-64.5,-15.5
-63.5_-15.5,-63.5,-15.5
-62.5_-15.5,-62.5,-15.5
-61.5_-15.5,-61.5,-15.5
-60.5_-15.5,-60.5,-15.5
-59.5_-15.5,-59.5,-15.5
-58.5_-15.5,-58.5,-15.5
-57.5_-15.5,-57.5,-15.5
-56.5_-15.5,-56.5,-15.5
-55.5_-15.5,-55.5,-15.5
-54.5_-15.5,-54.5,-15.5
-53.5_-15.5,-53.5,-15.5
-52.5_-15.5,-52.5,-15.5
-51.5_-15.5,-51.5,-15.5
-50.5_-15.5,-50.5,-15.5
-49.5_-15.5,-49.5,-15.5
-48.5_-15.5,-48.5,-15.5
-47.5_-15.5,-47.5,-15.5
-46.5_-15.5,-46.5,-15.5
-45.5_-15.5,-45.5,-15.5
-44.5_-15.5,-44.5,-15.5
-43.5_-15.5,-43.5,-15.5
-42.5_-15.5,-42.5,-15.5
-41.5_-15.5,-41.5,-15.5
-40.5_-15.5,-40.5,-15.5
-39.5_-15.5,-39.5,-15.5
-38.5_-15.5,-38.5,-15.5
11.5_-15.5,11.5,-15.5
12.5_-15.5,12.5,-15.5
13.5_-15.5,13.5,-15.5
14.5_-15.5,14.5,-15.5
15.5_-15.5,15.5,-15.5
16.5_-15.5,16.5,-15.5
17.5_-15.5,17.5,-15.5
18.5_-15.5,18.5,-15.5
19.5_-15.5,19.5,-15.5
20.5_-15.5,20.5,-15.5
21.5_-15.5,21.5,-15.5
22.5_-15.5,22.5,-15.5
23.5_-15.5,23.5,-15.5
24.5_-15.5,24.5,-15.5
25.5_-15.5,25.5,-15.5
26.5_-15.5,26.5,-15.5
27.5_-15.5,27.5,-15.5
28.5_-15.5,28.5,-15.5
29.5_-15.5,29.5,-15.5
30.5_-15.5,30.5,-15.5
31.5_-15.5,31.5,-15.5
32.5_-15.5,32.5,-15.5
33.5_-15.5,33.5,-15.5
34.5_-15.5,34.5,-15.5
35.5_-15.5,35.5,-15.5
36.5_-15.5,36.5,-15.5
37.5_-15.5,37.5,-15.5
38.5_-15.5,38.5,-15.5
39.5_-15.5,39.5,-15.5
40.5_-15.5,40.5,-15.5
45.5_-15.5,45.5,-15.5
46.5_-15.5,46.5,-15.5
47.5_-15.5,47.5,-15.5
48.5_-15.5,48.5,-15.5
49.5_-15.5,49.5,-15.5
50.5_-15.5,50.5,-15.5
124.5_-15.5,124.5,-15.5
125.5_-15.5,125.5,-15.5
126.5_-15.5,126.5,-15.5
127.5_-15.5,127.5,-15.5
128.5_-15.5,128.5,-15.5
129.5_-15.5,129.5,-15.5
130.5_-15.5,130.5,-15.5
131.5_-15.5,131.5,-15.5
132.5_-15.5,132.5,-15.5
133.5_-15.5,133.5,-15.5
134.5_-15.5,134.5,-15.5
135.5_-15.5,135.5,-15.5
136.5_-15.5,136.5,-15.5
137.5_-15.5,137.5,-15.5
141.5_-15.5,141.5,-15.5
142.5_-15.5,142.5,-15.5
143.5_-15.5,143.5,-15.5
144.5_-15.5,144.5,-15.5
145.5_-15.5,145.5,-15.5
166.5_-15.5,166.5,-15.5
167.5_-15.5,167.5,-15.5
168.5_-15.5,168.5,-15.5
-178.5_-14.5,-178.5,-14.5
-171.5_-14.5,-171.5,-14.5
-170.5_-14.5,-170.5,-14.5
-169.5_-14.5,-169.5,-14.5
-76.5_-14.5,-76.5,-14.5
-75.5_-14.5,-75.5,-14.5
-74.5_-14.5,-74.5,-14.5
-73.5_-14.5,-73.5,-14.5
-72.5_-14.5,-72.5,-14.5
-71.5_-14.5,-71.5,-14.5
-70.5_-14.5,-70.5,-14.5
-69.5_-14.5,-69.5,-14.5
-68.5_-14.5,-68.5,-14.5
-67.5_-14.5,-67.5,-14.5
-66.5_-14.5,-66.5,-14.5
-65.5_-14.5,-65.5,-14.5
-64.5_-14.5,-64.5,-14.5
-63.5_-14.5,-63.5,-14.5
-62.5_-14.5,-62.5,-14.5
-61.5_-14.5,-61.5,-14.5
-60.5_-14.5,-60.5,-14.5
-59.5_-14.5,-59.5,-14.5
-58.5_-14.5,-58.5,-14.5
-57.5_-14.5,-57.5,-14.5
-56.5_-14.5,-56.5,-14.5
-55.5_-14.5,-55.5,-14.5
-54.5_-14.5,-54.5,-14.5
-53.5_-14.5,-53.5,-14.5
-52.5_-14.5,-52.5,-14.5
-51.5_-14.5,-51.5,-14.5
-50.5_-14.5,-50.5,-14.5
-49.5_-14.5,-49.5,-14.5
-48.5_-14.5,-48.5,-14.5
-47.5_-14.5,-47.5,-14.5
-46.5_-14.5,-46.5,-14.5
-45.5_-14.5,-45.5,-14.5
-44.5_-14.5,-44.5,-14.5
-43.5_-14.5,-43.5,-14.5
-42.5_-14.5,-42.5,-14.5
-41.5_-14.5,-41.5,-14.5
-40.5_-14.5,-40.5,-14.5
-39.5_-14.5,-39.5,-14.5
-38.5_-14.5,-38.5,-14.5
12.5_-14.5,12.5,-14.5
13.5_-14.5,13.5,-14.5
14.5_-14.5,14.5,-14.5
15.5_-14.5,15.5,-14.5
16.5_-14.5,16.5,-14.5
17.5_-14.5,17.5,-14.5
18.5_-14.5,18.5,-14.5
19.5_-14.5,19.5,-14.5
20.5_-14.5,20.5,-14.5
21.5_-14.5,21.5,-14.5
22.5_-14.5,22.5,-14.5
23.5_-14.5,23.5,-14.5
24.5_-14.5,24.5,-14.5
25.5_-14.5,25.5,-14.5
26.5_-14.5,26.5,-14.5
27.5_-14.5,27.5,-14.5
28.5_-14.5,28.5,-14.5
29.5_-14.5,29.5,-14.5
30.5_-14.5,30.5,-14.5
31.5_-14.5,31.5,-14.5
32.5_-14.5,32.5,-14.5
33.5_-14.5,33.5,-14.5
34.5_-14.5,34.5,-14.5
35.5_-14.5,35.5,-14.5
36.5_-14.5,36.5,-14.5
37.5_-14.5,37.5,-14.5
38.5_-14.5,38.5,-14.5
39.5_-14.5,39.5,-14.5
40.5_-14.5,40.5,-14.5
47.5_-14.5,47.5,-14.5
48.5_-14.5,48.5,-14.5
49.5_-14.5,49.5,-14.5
50.5_-14.5,50.5,-14.5
124.5_-14.5,124.5,-14.5
125.5_-14.5,125.5,-14.5
126.5_-14.5,126.5,-14.5
127.5_-14.5,127.5,-14.5
128.5_-14.5,128.5,-14.5
129.5_-14.5,129.5,-14.5
130.5_-14.5,130.5,-14.5
131.5_-14.5,131.5,-14.5
132.5_-14.5,132.5,-14.5
133.5_-14.5,133.5,-14.5
134.5_-14.5,134.5,-14.5
135.5_-14.5,135.5,-14.5
136.5_-14.5,136.5,-14.5
141.5_-14.5,141.5,-14.5
142.5_-14.5,142.5,-14.5
143.5_-14.5,143.5,-14.5
144.5_-14.5,144.5,-14.5
145.5_-14.5,145.5,-14.5
166.5_-14.5,166.5,-14.5
167.5_-14.5,167.5,-14.5
168.5_-14.5,168.5,-14.5
-176.5_-13.5,-176.5,-13.5
-172.5_-13.5,-172.5,-13.5
-171.5_-13.5,-171.5,-13.5
-76.5_-13.5,-76.5,-13.5
-75.5_-13.5,-75.5,-13.5
-74.5_-13.5,-74.5,-13.5
-73.5_-13.5,-73.5,-13.5
-72.5_-13.5,-72.5,-13.5
-71.5_-13.5,-71.5,-13.5
-70.5_-13.5,-70.5,-13.5
-69.5_-13.5,-69.5,-13.5
-68.5_-13.5,-68.5,-13.5
-67.5_-13.5,-67.5,-13.5
-66.5_-13.5,-66.5,-13.5
-65.5_-13.5,-65.5,-13.5
-64.5_-13.5,-64.5,-13.5
-63.5_-13.5,-63.5,-13.5
-62.5_-13.5,-62.5,-13.5
-61.5_-13.5,-61.5,-13.5
-60.5_-13.5,-60.5,-13.5
-59.5_-13.5,-59.5,-13.5
-58.5_-13.5,-58.5,-13.5
-57.5_-13.5,-57.5,-13.5
-56.5_-13.5,-56.5,-13.5
-55.5_-13.5,-55.5,-13.5
-54.5_-13.5,-54.5,-13.5
-53.5_-13.5,-53.5,-13.5
-52.5_-13.5,-52.5,-13.5
-51.5_-13.5,-51.5,-13.5
-50.5_-13.5,-50.5,-13.5
-49.5_-13.5,-49.5,-13.5
-48.5_-13.5,-48.5,-13.5
-47.5_-13.5,-47.5,-13.5
-46.5_-13.5,-46.5,-13.5
-45.5_-13.5,-45.5,-13.5
-44.5_-13.5,-44.5,-13.5
-43.5_-13.5,-43.5,-13.5
-42.5_-13.5,-42.5,-13.5
-41.5_-13.5,-41.5,-13.5
-40.5_-13.5,-40.5,-13.5
-39.5_-13.5,-39.5,-13.5
-38.5_-13.5,-38.5,-13.5
12.5_-13.5,12.5,-13.5
13.5_-13.5,13.5,-13.5
14.5_-13.5,14.5,-13.5
15.5_-13.5,15.5,-13.5
16.5_-13.5,16.5,-13.5
17.5_-13.5,17.5,-13.5
18.5_-13.5,18.5,-13.5
19.5_-13.5,19.5,-13.5
20.5_-13.5,20.5,-13.5
21.5_-13.5,21.5,-13.5
22.5_-13.5,22.5,-13.5
23.5_-13.5,23.5,-13.5
24.5_-13.5,24.5,-13.5
25.5_-13.5,25.5,-13.5
26.5_-13.5,26.5,-13.5
27.5_-13.5,27.5,-13.5
28.5_-13.5,28.5,-13.5
29.5_-13.5,29.5,-13.5
30.5_-13.5,30.5,-13.5
31.5_-13.5,31.5,-13.5
32.5_-13.5,32.5,-13.5
33.5_-13.5,33.5,-13.5
34.5_-13.5,34.5,-13.5
35.5_-13.5,35.5,-13.5
36.5_-13.5,36.5,-13.5
37.5_-13.5,37.5,-13.5
38.5_-13.5,38.5,-13.5
39.5_-13.5,39.5,-13.5
40.5_-13.5,40.5,-13.5
47.5_-13.5,47.5,-13.5
48.5_-13.5,48.5,-13.5
49.5_-13.5,49.5,-13.5
126.5_-13.5,126.5,-13.5
127.5_-13.5,127.5,-13.5
129.5_-13.5,129.5,-13.5
130.5_-13.5,130.5,-13.5
131.5_-13.5,131.5,-13.5
132.5_-13.5,132.5,-13.5
133.5_-13.5,133.5,-13.5
134.5_-13.5,134.5,-13.5
135.5_-13.5,135.5,-13.5
136.5_-13.5,136.5,-13.5
141.5_-13.5,141.5,-13.5
142.5_-13.5,142.5,-13.5
143.5_-13.5,143.5,-13.5
166.5_-13.5,166.5,-13.5
167.5_-13.5,167.5,-13.5
-77.5_-12.5,-77.5,-12.5
-76.5_-12.5,-76.5,-12.5
-75.5_-12.5,-75.5,-12.5
-74.5_-12.5,-74.5,-12.5
-73.5_-12.5,-73.5,-12.5
-72.5_-12.5,-72.5,-12.5
-71.5_-12.5,-71.5,-12.5
-70.5_-12.5,-70.5,-12.5
-69.5_-12.5,-69.5,-12.5
-68.5_-12.5,-68.5,-12.5
-67.5_-12.5,-67.5,-12.5
-66.5_-12.5,-66.5,-12.5
-65.5_-12.5,-65.5,-12.5
-64.5_-12.5,-64.5,-12.5
-63.5_-12.5,-63.5,-12.5
-62.5_-12.5,-62.5,-12.5
-61.5_-12.5,-61.5,-12.5
-60.5_-12.5,-60.5,-12.5
-59.5_-12.5,-59.5,-12.5
-58.5_-12.5,-58.5,-12.5
-57.5_-12.5,-57.5,-12.5
-56.5_-12.5,-56.5,-12.5
-55.5_-12.5,-55.5,-12.5
-54.5_-12.5,-54.5,-12.5
-53.5_-12.5,-53.5,-12.5
-52.5_-12.5,-52.5,-12.5
-51.5_-12.5,-51.5,-12.5
-50.5_-12.5,-50.5,-12.5
-49.5_-12.5,-49.5,-12.5
-48.5_-12.5,-48.5,-12.5
-47.5_-12.5,-47.5,-12.5
-46.5_-12.5,-46.5,-12.5
-45.5_-12.5,-45.5,-12.5
-44.5_-12.5,-44.5,-12.5
-43.5_-12.5,-43.5,-12.5
-42.5_-12.5,-42.5,-12.5
-41.5_-12.5,-41.5,-12.5
-40.5_-12.5,-40.5,-12.5
-39.5_-12.5,-39.5,-12.5
-38.5_-12.5,-38.5,-12.5
-37.5_-12.5,-37.5,-12.5
12.5_-12.5,12.5,-12.5
13.5_-12.5,13.5,-12.5
14.5_-12.5,14.5,-12.5
15.5_-12.5,15.5,-12.5
16.5_-12.5,16.5,-12.5
17.5_-12.5,17.5,-12.5
18.5_-12.5,18.5,-12.5
19.5_-12.5,19.5,-12.5
20.5_-12.5,20.5,-12.5
21.5_-12.5,21.5,-12.5
22.5_-12.5,22.5,-12.5
23.5_-12.5,23.5,-12.5
24.5_-12.5,24.5,-12.5
25.5_-12.5,25.5,-12.5
26.5_-12.5,26.5,-12.5
27.5_-12.5,27.5,-12.5
28.5_-12.5,28.5,-12.5
29.5_-12.5,29.5,-12.5
30.5_-12.5,30.5,-12.5
31.5_-12.5,31.5,-12.5
32.5_-12.5,32.5,-12.5
33.5_-12.5,33.5,-12.5
34.5_-12.5,34.5,-12.5
35.5_-12.5,35.5,-12.5
36.5_-12.5,36.5,-12.5
37.5_-12.5,37.5,-12.5
38.5_-12.5,38.5,-12.5
39.5_-12.5,39.5,-12.5
40.5_-12.5,40.5,-12.5
43.5_-12.5,43.5,-12.5
44.5_-12.5,44.5,-12.5
48.5_-12.5,48.5,-12.5
49.5_-12.5,49.5,-12.5
130.5_-12.5,130.5,-12.5
131.5_-12.5,131.5,-12.5
132.5_-12.5,132.5,-12.5
133.5_-12.5,133.5,-12.5
134.5_-12.5,134.5,-12.5
135.5_-12.5,135.5,-12.5
136.5_-12.5,136.5,-12.5
141.5_-12.5,141.5,-12.5
142.5_-12.5,142.5,-12.5
143.5_-12.5,143.5,-12.5
168.5_-12.5,168.5,-12.5
177.5_-12.5,177.5,-12.5
-77.5_-11.5,-77.5,-11.5
-76.5_-11.5,-76.5,-11.5
-75.5_-11.5,-75.5,-11.5
-74.5_-11.5,-74.5,-11.5
-73.5_-11.5,-73.5,-11.5
-72.5_-11.5,-72.5,-11.5
-71.5_-11.5,-71.5,-11.5
-70.5_-11.5,-70.5,-11.5
-69.5_-11.5,-69.5,-11.5
-68.5_-11.5,-68.5,-11.5
-67.5_-11.5,-67.5,-11.5
-66.5_-11.5,-66.5,-11.5
-65.5_-11.5,-65.5,-11.5
-64.5_-11.5,-64.5,-11.5
-63.5_-11.5,-63.5,-11.5
-62.5_-11.5,-62.5,-11.5
-61.5_-11.5,-61.5,-11.5
-60.5_-11.5,-60.5,-11.5
-59.5_-11.5,-59.5,-11.5
-58.5_-11.5,-58.5,-11.5
-57.5_-11.5,-57.5,-11.5
-56.5_-11.5,-56.5,-11.5
-55.5_-11.5,-55.5,-11.5
-54.5_-11.5,-54.5,-11.5
-53.5_-11.5,-53.5,-11.5
-52.5_-11.5,-52.5,-11.5
-51.5_-11.5,-51.5,-11.5
-50.5_-11.5,-50.5,-11.5
-49.5_-11.5,-49.5,-11.5
-48.5_-11.5,-48.5,-11.5
-47.5_-11.5,-47.5,-11.5
-46.5_-11.5,-46.5,-11.5
-45.5_-11.5,-45.5,-11.5
-44.5_-11.5,-44.5,-11.5
-43.5_-11.5,-43.5,-11.5
-42.5_-11.5,-42.5,-11.5
-41.5_-11.5,-41.5,-11.5
-40.5_-11.5,-40.5,-11.5
-39.5_-11.5,-39.5,-11.5
-38.5_-11.5,-38.5,-11.5
-37.5_-11.5,-37.5,-11.5
13.5_-11.5,13.5,-11.5
14.5_-11.5,14.5,-11.5
15.5_-11.5,15.5,-11.5
16.5_-11.5,16.5,-11.5
17.5_-11.5,17.5,-11.5
18.5_-11.5,18.5,-11.5
19.5_-11.5,19.5,-11.5
20.5_-11.5,20.5,-11.5
21.5_-11.5,21.5,-11.5
22.5_-11.5,22.5,-11.5
23.5_-11.5,23.5,-11.5
24.5_-11.5,24.5,-11.5
25.5_-11.5,25.5,-11.5
26.5_-11.5,26.5,-11.5
27.5_-11.5,27.5,-11.5
28.5_-11.5,28.5,-11.5
29.5_-11.5,29.5,-11.5
30.5_-11.5,30.5,-11.5
31.5_-11.5,31.5,-11.5
32.5_-11.5,32.5,-11.5
33.5_-11.5,33.5,-11.5
34.5_-11.5,34.5,-11.5
35.5_-11.5,35.5,-11.5
36.5_-11.5,36.5,-11.5
37.5_-11.5,37.5,-11.5
38.5_-11.5,38.5,-11.5
39.5_-11.5,39.5,-11.5
40.5_-11.5,40.5,-11.5
43.5_-11.5,43.5,-11.5
130.5_-11.5,130.5,-11.5
131.5_-11.5,131.5,-11.5
132.5_-11.5,132.5,-11.5
133.5_-11.5,133.5,-11.5
134.5_-11.5,134.5,-11.5
136.5_-11.5,136.5,-11.5
141.5_-11.5,141.5,-11.5
142.5_-11.5,142.5,-11.5
143.5_-11.5,143.5,-11.5
153.5_-11.5,153.5,-11.5
154.5_-11.5,154.5,-11.5
159.5_-11.5,159.5,-11.5
160.5_-11.5,160.5,-11.5
166.5_-11.5,166.5,-11.5
-78.5_-10.5,-78.5,-10.5
-77.5_-10.5,-77.5,-10.5
-76.5_-10.5,-76.5,-10.5
-75.5_-10.5,-75.5,-10.5
-74.5_-10.5,-74.5,-10.5
-73.5_-10.5,-73.5,-10.5
-72.5_-10.5,-72.5,-10.5
-71.5_-10.5,-71.5,-10.5
-70.5_-10.5,-70.5,-10.5
-69.5_-10.5,-69.5,-10.5
-68.5_-10.5,-68.5,-10.5
-67.5_-10.5,-67.5,-10.5
-66.5_-10.5,-66.5,-10.5
-65.5_-10.5,-65.5,-10.5
-64.5_-10.5,-64.5,-10.5
-63.5_-10.5,-63.5,-10.5
-62.5_-10.5,-62.5,-10.5
-61.5_-10.5,-61.5,-10.5
-60.5_-10.5,-60.5,-10.5
-59.5_-10.5,-59.5,-10.5
-58.5_-10.5,-58.5,-10.5
-57.5_-10.5,-57.5,-10.5
-56.5_-10.5,-56.5,-10.5
-55.5_-10.5,-55.5,-10.5
-54.5_-10.5,-54.5,-10.5
-53.5_-10.5,-53.5,-10.5
-52.5_-10.5,-52.5,-10.5
-51.5_-10.5,-51.5,-10.5
-50.5_-10.5,-50.5,-10.5
-49.5_-10.5,-49.5,-10.5
-48.5_-10.5,-48.5,-10.5
-47.5_-10.5,-47.5,-10.5
-46.5_-10.5,-46.5,-10.5
-45.5_-10.5,-45.5,-10.5
-44.5_-10.5,-44.5,-10.5
-43.5_-10.5,-43.5,-10.5
-42.5_-10.5,-42.5,-10.5
-41.5_-10.5,-41.5,-10.5
-40.5_-10.5,-40.5,-10.5
-39.5_-10.5,-39.5,-10.5
-38.5_-10.5,-38.5,-10.5
-37.5_-10.5,-37.5,-10.5
-36.5_-10.5,-36.5,-10.5
13.5_-10.5,13.5,-10.5
14.5_-10.5,14.5,-10.5
15.5_-10.5,15.5,-10.5
16.5_-10.5,16.5,-10.5
17.5_-10.5,17.5,-10.5
18.5_-10.5,18.5,-10.5
19.5_-10.5,19.5,-10.5
20.5_-10.5,20.5,-10.5
21.5_-10.5,21.5,-10.5
22.5_-10.5,22.5,-10.5
23.5_-10.5,23.5,-10.5
24.5_-10.5,24.5,-10.5
25.5_-10.5,25.5,-10.5
26.5_-10.5,26.5,-10.5
27.5_-10.5,27.5,-10.5
28.5_-10.5,28.5,-10.5
29.5_-10.5,29.5,-10.5
30.5_-10.5,30.5,-10.5
31.5_-10.5,31.5,-10.5
32.5_-10.5,32.5,-10.5
33.5_-10.5,33.5,-10.5
34.5_-10.5,34.5,-10.5
35.5_-10.5,35.5,-10.5
36.5_-10.5,36.5,-10.5
37.5_-10.5,37.5,-10.5
38.5_-10.5,38.5,-10.5
39.5_-10.5,39.5,-10.5
40.5_-10.5,40.5,-10.5
105.5_-10.5,105.5,-10.5
119.5_-10.5,119.5,-10.5
120.5_-10.5,120.5,-10.5
121.5_-10.5,121.5,-10.5
122.5_-10.5,122.5,-10.5
123.5_-10.5,123.5,-10.5
124.5_-10.5,124.5,-10.5
142.5_-10.5,142.5,-10.5
147.5_-10.5,147.5,-10.5
148.5_-10.5,148.5,-10.5
149.5_-10.5,149.5,-10.5
150.5_-10.5,150.5,-10.5
151.5_-10.5,151.5,-10.5
152.5_-10.5,152.5,-10.5
161.5_-10.5,161.5,-10.5
162.5_-10.5,162.5,-10.5
165.5_-10.5,165.5,-10.5
166.5_-10.5,166.5,-10.5
-78.5_-9.5,-78.5,-9.5
-77.5_-9.5,-77.5,-9.5
-76.5_-9.5,-76.5,-9.5
-75.5_-9.5,-75.5,-9.5
-74.5_-9.5,-74.5,-9.5
-73.5_-9.5,-73.5,-9.5
-72.5_-9.5,-72.5,-9.5
-71.5_-9.5,-71.5,-9.5
-70.5_-9.5,-70.5,-9.5
-69.5_-9.5,-69.5,-9.5
-68.5_-9.5,-68.5,-9.5
-67.5_-9.5,-67.5,-9.5
-66.5_-9.5,-66.5,-9.5
-65.5_-9.5,-65.5,-9.5
-64.5_-9.5,-64.5,-9.5
-63.5_-9.5,-63.5,-9.5
-62.5_-9.5,-62.5,-9.5
-61.5_-9.5,-61.5,-9.5
-60.5_-9.5,-60.5,-9.5
-59.5_-9.5,-59.5,-9.5
-58.5_-9.5,-58.5,-9.5
-57.5_-9.5,-57.5,-9.5
-56.5_-9.5,-56.5,-9.5
-55.5_-9.5,-55.5,-9.5
-54.5_-9.5,-54.5,-9.5
-53.5_-9.5,-53.5,-9.5
-52.5_-9.5,-52.5,-9.5
-51.5_-9.5,-51.5,-9.5
-50.5_-9.5,-50.5,-9.5
-49.5_-9.5,-49.5,-9.5
-48.5_-9.5,-48.5,-9.5
-47.5_-9.5,-47.5,-9.5
-46.5_-9.5,-46.5,-9.5
-45.5_-9.5,-45.5,-9.5
-44.5_-9.5,-44.5,-9.5
-43.5_-9.5,-43.5,-9.5
-42.5_-9.5,-42.5,-9.5
-41.5_-9.5,-41.5,-9.5
-40.5_-9.5,-40.5,-9.5
-39.5_-9.5,-39.5,-9.5
-38.5_-9.5,-38.5,-9.5
-37.5_-9.5,-37.5,-9.5
-36.5_-9.5,-36.5,-9.5
-35.5_-9.5,-35.5,-9.5
13.5_-9.5,13.5,-9.5
14.5_-9.5,14.5,-9.5
15.5_-9.5,15.5,-9.5
16.5_-9.5,16.5,-9.5
17.5_-9.5,17.5,-9.5
18.5_-9.5,18.5,-9.5
19.5_-9.5,19.5,-9.5
20.5_-9.5,20.5,-9.5
21.5_-9.5,21.5,-9.5
22.5_-9.5,22.5,-9.5
23.5_-9.5,23.5,-9.5
24.5_-9.5,24.5,-9.5
25.5_-9.5,25.5,-9.5
26.5_-9.5,26.5,-9.5
27.5_-9.5,27.5,-9.5
28.5_-9.5,28.5,-9.5
29.5_-9.5,29.5,-9.5
30.5_-9.5,30.5,-9.5
31.5_-9.5,31.5,-9.5
32.5_-9.5,32.5,-9.5
33.5_-9.5,33.5,-9.5
34.5_-9.5,34.5,-9.5
35.5_-9.5,35.5,-9.5
36.5_-9.5,36.5,-9.5
37.5_-9.5,37.5,-9.5
38.5_-9.5,38.5,-9.5
39.5_-9.5,39.5,-9.5
46.5_-9.5,46.5,-9.5
116.5_-9.5,116.5,-9.5
117.5_-9.5,117.5,-9.5
118.5_-9.5,118.5,-9.5
119.5_-9.5,119.5,-9.5
120.5_-9.5,120.5,-9.5
123.5_-9.5,123.5,-9.5
124.5_-9.5,124.5,-9.5
125.5_-9.5,125.5,-9.5
126.5_-9.5,126.5,-9.5
140.5_-9.5,140.5,-9.5
141.5_-9.5,141.5,-9.5
142.5_-9.5,142.5,-9.5
143.5_-9.5,143.5,-9.5
144.5_-9.5,144.5,-9.5
146.5_-9.5,146.5,-9.5
147.5_-9.5,147.5,-9.5
148.5_-9.5,148.5,-9.5
149.5_-9.5,149.5,-9.5
150.5_-9.5,150.5,-9.5
151.5_-9.5,151.5,-9.5
152.5_-9.5,152.5,-9.5
153.5_-9.5,153.5,-9.5
159.5_-9.5,159.5,-9.5
160.5_-9.5,160.5,-9.5
161.5_-9.5,161.5,-9.5
-79.5_-8.5,-79.5,-8.5
-78.5_-8.5,-78.5,-8.5
-77.5_-8.5,-77.5,-8.5
-76.5_-8.5,-76.5,-8.5
-75.5_-8.5,-75.5,-8.5
-74.5_-8.5,-74.5,-8.5
-73.5_-8.5,-73.5,-8.5
-72.5_-8.5,-72.5,-8.5
-71.5_-8.5,-71.5,-8.5
-70.5_-8.5,-70.5,-8.5
-69.5_-8.5,-69.5,-8.5
-68.5_-8.5,-68.5,-8.5
-67.5_-8.5,-67.5,-8.5
-66.5_-8.5,-66.5,-8.5
-65.5_-8.5,-65.5,-8.5
-64.5_-8.5,-64.5,-8.5
-63.5_-8.5,-63.5,-8.5
-62.5_-8.5,-62.5,-8.5
-61.5_-8.5,-61.5,-8.5
-60.5_-8.5,-60.5,-8.5
-59.5_-8.5,-59.5,-8.5
-58.5_-8.5,-58.5,-8.5
-57.5_-8.5,-57.5,-8.5
-56.5_-8.5,-56.5,-8.5
-55.5_-8.5,-55.5,-8.5
-54.5_-8.5,-54.5,-8.5
-53.5_-8.5,-53.5,-8.5
-52.5_-8.5,-52.5,-8.5
-51.5_-8.5,-51.5,-8.5
-50.5_-8.5,-50.5,-8.5
-49.5_-8.5,-49.5,-8.5
-48.5_-8.5,-48.5,-8.5
-47.5_-8.5,-47.5,-8.5
-46.5_-8.5,-46.5,-8.5
